"建物他項權利登記","棟數_棟","設定","移轉","變更","塗銷","其他","面積_平方公尺","設定","移轉","變更","塗銷","其他"
"107年<br>(1月至5月)/ 花蓮縣 / 抵押權","4,705","2,279","12","462","1,952","-","818,918.09","393,615.34","1,716.30","125,815.20","297,771.25","-"
"107年<br>(1月至5月)/ 花蓮縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 花蓮縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 花蓮縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 花蓮縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 花蓮縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 花蓮縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 花蓮縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 花蓮縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 澎湖縣 / 登記項目總計","623","363","3","50","207","-","174,666.71","124,510.09","217.39","11,609.39","38,329.84","-"
"107年<br>(1月至5月)/ 澎湖縣 / 抵押權","623","363","3","50","207","-","174,666.71","124,510.09","217.39","11,609.39","38,329.84","-"
"107年<br>(1月至5月)/ 澎湖縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 澎湖縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 澎湖縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 澎湖縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 澎湖縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 澎湖縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 澎湖縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 澎湖縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 基隆市 / 登記項目總計","8,615","4,868","201","291","3,255","-","660,611.85","409,819.34","9,606.62","23,395.47","217,790.42","-"
"107年<br>(1月至5月)/ 基隆市 / 抵押權","8,615","4,868","201","291","3,255","-","660,611.85","409,819.34","9,606.62","23,395.47","217,790.42","-"
"107年<br>(1月至5月)/ 基隆市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 基隆市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 基隆市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 基隆市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 基隆市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 基隆市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
